Player: DS | Score: 4600 | Infantry Kills: 24 | Undead Kills: 22 | Vehicle Kills: 0 | Other Kills: 0
Player: DS | Score: 3400 | Infantry Kills: 21 | Undead Kills: 13 | Vehicle Kills: 0 | Other Kills: 0
Player: DS | Score: 4200 | Infantry Kills: 24 | Undead Kills: 18 | Vehicle Kills: 0 | Other Kills: 0
Player: DS | Score: 5500 | Infantry Kills: 32 | Undead Kills: 22 | Vehicle Kills: 0 | Other Kills: 1
Player: DS | Score: 6200 | Infantry Kills: 32 | Undead Kills: 28 | Vehicle Kills: 0 | Other Kills: 2
Player: DS | Score: 0 | Infantry Kills: 0 | Undead Kills: 0 | Vehicle Kills: 0 | Other Kills: 0
Player: DS | Score: 0 | Infantry Kills: 0 | Undead Kills: 0 | Vehicle Kills: 0 | Other Kills: 0
Player: ASD | Score: 3500 | Infantry Kills: 29 | Undead Kills: 0 | Vehicle Kills: 0 | Other Kills: 6
Player: WE | Score: 400 | Infantry Kills: 4 | Undead Kills: 0 | Vehicle Kills: 0 | Other Kills: 0
Player: WEF | Score: 1000 | Infantry Kills: 10 | Undead Kills: 0 | Vehicle Kills: 0 | Other Kills: 0
Player: EFW | Score: 600 | Infantry Kills: 5 | Undead Kills: 1 | Vehicle Kills: 0 | Other Kills: 0
Player: FS | Score: 900 | Infantry Kills: 9 | Undead Kills: 0 | Vehicle Kills: 0 | Other Kills: 0
Player: DSFSDF | Score: 7100 | Infantry Kills: 44 | Undead Kills: 20 | Vehicle Kills: 0 | Other Kills: 7
Player: GDFG | Score: 0 | Infantry Kills: 0 | Undead Kills: 0 | Vehicle Kills: 0 | Other Kills: 0
Player: MEOW | Score: 100 | Infantry Kills: 1 | Undead Kills: 0 | Vehicle Kills: 0 | Other Kills: 0
Player: FDC | Score: 1000 | Infantry Kills: 10 | Undead Kills: 0 | Vehicle Kills: 0 | Other Kills: 0
Player: DSF | Score: 700 | Infantry Kills: 7 | Undead Kills: 0 | Vehicle Kills: 0 | Other Kills: 0
Player: DSG | Score: 2100 | Infantry Kills: 20 | Undead Kills: 0 | Vehicle Kills: 0 | Other Kills: 1
Player: CSC | Score: 0 | Infantry Kills: 0 | Undead Kills: 0 | Vehicle Kills: 0 | Other Kills: 0
Player: GTR | Score: 1400 | Infantry Kills: 11 | Undead Kills: 3 | Vehicle Kills: 0 | Other Kills: 0
Player: GTR | Score: 1400 | Infantry Kills: 11 | Undead Kills: 3 | Vehicle Kills: 0 | Other Kills: 0
Player: GTR | Score: 1500 | Infantry Kills: 11 | Undead Kills: 4 | Vehicle Kills: 0 | Other Kills: 0
Player: GTR | Score: 2200 | Infantry Kills: 14 | Undead Kills: 8 | Vehicle Kills: 0 | Other Kills: 0
Player: GTR | Score: 2000 | Infantry Kills: 14 | Undead Kills: 6 | Vehicle Kills: 0 | Other Kills: 0
Player: GTR | Score: 5300 | Infantry Kills: 32 | Undead Kills: 20 | Vehicle Kills: 0 | Other Kills: 1
Player: GTR | Score: 1800 | Infantry Kills: 13 | Undead Kills: 5 | Vehicle Kills: 0 | Other Kills: 0
Player: GTR | Score: 0 | Infantry Kills: 0 | Undead Kills: 0 | Vehicle Kills: 0 | Other Kills: 0
Player: GTR | Score: 3700 | Infantry Kills: 23 | Undead Kills: 14 | Vehicle Kills: 0 | Other Kills: 0
Player: GTR | Score: 2000 | Infantry Kills: 13 | Undead Kills: 7 | Vehicle Kills: 0 | Other Kills: 0
Player: GTR | Score: 1600 | Infantry Kills: 12 | Undead Kills: 4 | Vehicle Kills: 0 | Other Kills: 0
Player: GTR | Score: 2500 | Infantry Kills: 17 | Undead Kills: 8 | Vehicle Kills: 0 | Other Kills: 0
Player: GTR | Score: 4200 | Infantry Kills: 23 | Undead Kills: 19 | Vehicle Kills: 0 | Other Kills: 0
Player: GTR | Score: 3200 | Infantry Kills: 19 | Undead Kills: 13 | Vehicle Kills: 0 | Other Kills: 0
Player: GTR | Score: 1600 | Infantry Kills: 12 | Undead Kills: 4 | Vehicle Kills: 0 | Other Kills: 0
Player: GTR | Score: 4600 | Infantry Kills: 26 | Undead Kills: 20 | Vehicle Kills: 0 | Other Kills: 0
Player: GTR | Score: 1900 | Infantry Kills: 13 | Undead Kills: 6 | Vehicle Kills: 0 | Other Kills: 0
Player: GTR | Score: 4600 | Infantry Kills: 26 | Undead Kills: 20 | Vehicle Kills: 0 | Other Kills: 0
Player: GTR | Score: 0 | Infantry Kills: 0 | Undead Kills: 0 | Vehicle Kills: 0 | Other Kills: 0
Player: GTR | Score: 1300 | Infantry Kills: 10 | Undead Kills: 3 | Vehicle Kills: 0 | Other Kills: 0
Player: GTR | Score: 3100 | Infantry Kills: 19 | Undead Kills: 12 | Vehicle Kills: 0 | Other Kills: 0
Player: GTR | Score: 1000 | Infantry Kills: 9 | Undead Kills: 1 | Vehicle Kills: 0 | Other Kills: 0
Player: GTR | Score: 1700 | Infantry Kills: 12 | Undead Kills: 5 | Vehicle Kills: 0 | Other Kills: 0
Player: GTR | Score: 1000 | Infantry Kills: 9 | Undead Kills: 1 | Vehicle Kills: 0 | Other Kills: 0
Player: GTR | Score: 5100 | Infantry Kills: 28 | Undead Kills: 22 | Vehicle Kills: 0 | Other Kills: 1
Player: GTR | Score: 5100 | Infantry Kills: 28 | Undead Kills: 22 | Vehicle Kills: 0 | Other Kills: 1
Player: GTR | Score: 800 | Infantry Kills: 7 | Undead Kills: 1 | Vehicle Kills: 0 | Other Kills: 0
Player: GTR | Score: 100 | Infantry Kills: 1 | Undead Kills: 0 | Vehicle Kills: 0 | Other Kills: 0
Player: GTR | Score: 1500 | Infantry Kills: 10 | Undead Kills: 5 | Vehicle Kills: 0 | Other Kills: 0
Player: GTR | Score: 600 | Infantry Kills: 6 | Undead Kills: 0 | Vehicle Kills: 0 | Other Kills: 0
Player: GTR | Score: 700 | Infantry Kills: 6 | Undead Kills: 1 | Vehicle Kills: 0 | Other Kills: 0
Player: GTR | Score: 0 | Infantry Kills: 0 | Undead Kills: 0 | Vehicle Kills: 0 | Other Kills: 0
Player: GTR | Score: 0 | Infantry Kills: 0 | Undead Kills: 0 | Vehicle Kills: 0 | Other Kills: 0
Player: GTR | Score: 0 | Infantry Kills: 0 | Undead Kills: 0 | Vehicle Kills: 0 | Other Kills: 0
Player: GTR | Score: 0 | Infantry Kills: 0 | Undead Kills: 0 | Vehicle Kills: 0 | Other Kills: 0
